weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99024
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99028
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99050
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99067
Semi-Auto Pistol,"GLOCK, INC.--AU--",,30,4, 45 ACP,4.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,10-15FT,UNKNOWN,SITTING,99075
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,6.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,10-15FT,UNKNOWN,SITTING,99078
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99082
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99103
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99107
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99110
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99111
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99116
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99117
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99118
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99119
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99129
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99133
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99151
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99153
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99167
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99198
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99206
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99232
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99262
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99300
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99302
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99322
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99325
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99346
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99348
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,99360
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99364
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99396
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99399
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99418
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99432
Chemical Weapon,,,,,,,,,,,,,,,,,99445
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99445
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,99459
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99472
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99535
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99550
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99554
Chemical Weapon,,,,,,,,,,,,,,,,,99584
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.5, 9 MM,10.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,CEMENT WALL,05-10FT,UNKNOWN,STANDING,99611
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.48, 9 MM,4.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,false,NONE,0-5FT,PERSON,STANDING,99612
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99614
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99624
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99625
Chemical Weapon,,,,,,,,,,,,,,,,,99665
Semi-Auto Pistol,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P229,4, 9 MM,5.0,False,,LEFT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE AVAILABLE,OVER 15FT,UNKNOWN,STANDING,99667
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99680
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99681
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99682
Semi-Auto Pistol,"STURM, RUGER & CO. (BEARCAT,BLACKHAWK,SPEED SIX)",,LCP,2.75,380 ACP,1.0,False,0.0,OTHER (SPECIFY),STRONG SIDE DRAW,,false,NONE,0-5FT,UNKNOWN,STANDING,99707
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4, 9 MM,6.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,0,false,NONE,05-10FT,PERSON,STANDING,99718
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99729
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99730
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99780
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,99804
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99810
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99837
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99838
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99862
Chemical Weapon,,,,,,,,,,,,,,,,,99921
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99921
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102678
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4, 9 MM,7.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,BUILDING,10-15FT,BOTH,STANDING,99930
Semi-Auto Pistol,"GLOCK, INC.--AU--",,26,3, 9 MM,11.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,CAR,10-15FT,PERSON,STANDING,99933
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,99947
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99950
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99953
Taser (Probe Discharge),,,,,,,,,,,,,,,,,99972
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100001
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100003
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100044
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100053
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100068
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100074
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100084
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100096
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100100
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100101
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,100109
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100112
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100113
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100121
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100138
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100152
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.48, 9 MM,10.0,True,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,SPEED RELOAD,true,POLICE VEHICLE,05-10FT,PERSON,STANDING,100157
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4.49, 9 MM,2.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE DOOR,05-10FT,PERSON,STANDING,100158
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100166
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100189
